id,course_id,week_number,topic,session_date,session_time,expert_name,zoom_link,session_start,user_question,expected_answer
1,1,1,Software Design & Git,2026-03-06,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-03-06T17:30:00+00:00,What is the schedule for Week 1 of the Mobile course?,
2,1,2,Software Configuration Management,2026-03-06,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-03-06T17:30:00+00:00,What is the schedule for Week 2 of the Mobile course?,
3,1,2,Dart Variables & Control Flow,2026-03-09,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-03-09T17:30:00+00:00,What is the schedule for Week 2 of the Mobile course?,
4,1,3,Dart Essentials & OOP,2026-03-13,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-03-13T17:30:00+00:00,What is the schedule for Week 3 of the Mobile course?,
5,1,3,Flutter Fundamentals,2026-03-16,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-03-16T17:30:00+00:00,What is the schedule for Week 3 of the Mobile course?,
6,1,4,Flutter Input & Navigation,2026-03-19,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-03-19T17:30:00+00:00,What is the schedule for Week 4 of the Mobile course?,
7,1,4,Advanced UI & Localization,2026-03-20,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-03-20T17:30:00+00:00,What is the schedule for Week 4 of the Mobile course?,
8,1,8,Firebase Tools,2026-04-14,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-04-14T17:30:00+00:00,What is the schedule for Week 8 of the Mobile course?,
9,1,8,Firebase Project,2026-04-17,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-04-17T17:30:00+00:00,What is the schedule for Week 8 of the Mobile course?,
10,1,9,Access Device Features,2026-04-21,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-04-21T17:30:00+00:00,What is the schedule for Week 9 of the Mobile course?,
11,1,9/10,Design Patterns & Clean Architecture,2026-04-28,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-04-28T16:30:00+00:00,What is the schedule for Week 9/10 of the Mobile course?,
12,1,10,Testing & App Deployment,2026-05-05,07:30 PM,Omar Sherif,https://zoom.us/j/default,2026-05-05T16:30:00+00:00,What is the schedule for Week 10 of the Mobile course?,
13,2,1,Python Fundamentals,2026-03-06,06:30 PM,Ola Ahmed,https://zoom.us/j/default,2026-03-06T16:30:00+00:00,What is the schedule for Week 1 of the AI/ML course?,
14,2,2,Python Basics & Bitwise,2026-03-06,06:30 PM,Ola Ahmed,https://zoom.us/j/default,2026-03-06T16:30:00+00:00,What is the schedule for Week 2 of the AI/ML course?,
15,2,2,OOP in Python,2026-03-08,06:30 PM,Ola Ahmed,https://zoom.us/j/default,2026-03-08T16:30:00+00:00,What is the schedule for Week 2 of the AI/ML course?,
16,2,2,Data Structures & Exceptions,2026-03-10,06:30 PM,Ola Ahmed,https://zoom.us/j/default,2026-03-10T16:30:00+00:00,What is the schedule for Week 2 of the AI/ML course?,
17,2,3,Data Visualization (Plotly/Seaborn),2026-03-17,06:30 PM,Ola Ahmed,https://zoom.us/j/default,2026-03-17T16:30:00+00:00,What is the schedule for Week 3 of the AI/ML course?,
18,2,4,SQL Databases & Complex Queries,2026-03-20,06:00 PM,Salah Ashraf,https://zoom.us/j/default,2026-03-20T16:00:00+00:00,What is the schedule for Week 4 of the AI/ML course?,
19,2,5,API Creation & CRUD Operations,2026-03-24,06:00 PM,Salah Ashraf,https://zoom.us/j/default,2026-03-24T16:00:00+00:00,What is the schedule for Week 5 of the AI/ML course?,
20,2,6,Intro to AI & Machine Learning,2026-03-31,05:00 PM,Eslam Ahmed,https://zoom.us/j/default,2026-03-31T15:00:00+00:00,What is the schedule for Week 6 of the AI/ML course?,
21,2,6,Supervised Learning,2026-04-02,05:00 PM,Eslam Ahmed,https://zoom.us/j/default,2026-04-02T15:00:00+00:00,What is the schedule for Week 6 of the AI/ML course?,
22,2,6,Unsupervised Learning,2026-04-04,05:00 PM,Eslam Ahmed,https://zoom.us/j/default,2026-04-04T15:00:00+00:00,What is the schedule for Week 6 of the AI/ML course?,
23,2,7,Recommendation Systems,2026-04-11,05:00 PM,Ahmed AbdelsAlam,https://zoom.us/j/default,2026-04-11T15:00:00+00:00,What is the schedule for Week 7 of the AI/ML course?,
24,2,8,Neural Networks & Keras/PyTorch,2026-04-16,06:00 PM,Ahmed AbdelsAlam,https://zoom.us/j/default,2026-04-16T16:00:00+00:00,What is the schedule for Week 8 of the AI/ML course?,
25,2,9,Machine Learning Tradeoffs,2026-04-21,06:00 PM,Aya Salama,https://zoom.us/j/default,2026-04-21T16:00:00+00:00,What is the schedule for Week 9 of the AI/ML course?,
26,2,9,Object Recognition System,2026-04-24,06:00 PM,Aya Salama,https://zoom.us/j/default,2026-04-24T15:00:00+00:00,What is the schedule for Week 9 of the AI/ML course?,
27,2,10/11,Transformers & Seq2Seq,2026-03-07,04:30 PM,Salah Ashraf & Hoyam Nabil,https://zoom.us/j/default,2026-03-07T14:30:00+00:00,What is the schedule for Week 10/11 of the AI/ML course?,
28,2,11,LLM Evaluation & Prompt Engineering,2026-03-07,07:00 PM,Salah Ashraf,https://zoom.us/j/default,2026-03-07T17:00:00+00:00,What is the schedule for Week 11 of the AI/ML course?,
40,1,Week 1,Introduction to RAG Systems,2026-03-08,02:24 AM,Dr. Ahmed,https://zoom.us/j/session1,,What is the schedule for Week Week 1 of the Mobile course?,
